pretrain_step,rl_step,n_rollouts,resp_len_mean,resp_len_median,resp_len_p95,resp_len_max,trunc_rate
10000,2450,1024,1183.2,233,3586,3792,0.2432
10000,2500,1024,1402.1,303,3589,3755,0.29
10000,2550,1024,1105.4,231,3588,3856,0.2266
10000,2600,1024,1191.8,231,3588,3778,0.2383
10000,2650,1024,1096.2,207,3589,3803,0.2188
10000,2700,1024,1249.3,264,3589,3838,0.249
10000,2750,1024,1236.8,244,3587,3860,0.252
10000,2800,1024,1415.6,334,3588,3763,0.3076
10000,2850,1024,1126.7,253,3587,3791,0.2266
10000,2900,1024,1276.8,248,3587,3910,0.2793
10000,2950,1024,1116.7,193,3587,3839,0.2432
10000,3000,1024,1226.4,222,3588,3763,0.2637
10000,3050,1024,1172.4,212,3585,3791,0.2402
10000,3100,1024,1188.2,213,3586,3825,0.248
10000,3150,1024,1120.6,199,3586,3843,0.2305
15000,50,1024,573.5,494,1149,3639,0.0078
15000,100,1024,507.5,452,997,3615,0.0029
15000,150,1024,443.1,394,868,3617,0.002
15000,200,1024,434.5,404,825,3582,0.0
15000,250,1024,417.6,361,856,2382,0.0
15000,300,1024,356.3,280,751,3590,0.002
15000,350,1024,337.4,259,754,3584,0.001
15000,400,1024,363.5,290,811,3584,0.001
15000,450,1024,356.0,264,776,3584,0.0039
15000,500,1024,341.3,248,794,3584,0.001
15000,550,1024,317.2,238,719,3584,0.0039
15000,600,1024,326.4,244,772,1953,0.0
15000,650,1024,294.5,195,704,3585,0.001
15000,700,1024,371.4,243,904,3585,0.0068
15000,750,1024,398.5,266,917,3744,0.0146
15000,800,1024,365.8,243,898,3784,0.0117
15000,850,1024,415.5,273,974,3675,0.0176
15000,900,1024,411.2,275,968,3628,0.0117
15000,950,1024,429.5,252,1149,3590,0.0225
15000,1000,1024,407.9,217,997,3587,0.0293
15000,1050,1024,390.3,242,940,3613,0.0205
15000,1100,1024,431.9,253,1112,3609,0.0225
15000,1150,1024,431.9,251,1198,3722,0.0234
15000,1200,1024,430.3,236,1206,3594,0.0283
15000,1250,1024,450.6,223,1372,3635,0.0352
15000,1300,1024,480.8,237,2544,3595,0.041
15000,1350,1024,459.2,236,1609,3589,0.0342
15000,1400,1024,576.9,249,3584,3631,0.0596
15000,1450,1024,606.2,245,3584,3605,0.0791
15000,1500,1024,503.1,219,3583,3814,0.0479
15000,1550,1024,626.9,283,3584,3615,0.0674
15000,1600,1024,616.4,289,3584,3665,0.0713
15000,1650,1024,574.4,240,3584,3586,0.0693
15000,1700,1024,750.1,279,3584,3790,0.0957
15000,1750,1024,691.0,222,3584,3610,0.1016
15000,1800,1024,771.4,256,3584,3716,0.1172
15000,1850,1024,893.1,294,3584,3605,0.1396
15000,1900,1024,671.4,208,3584,3766,0.0977
